player,team,pos,gp,wins,losses,kda,car,composite,champs,radar_axes,role_rank
Isles,LYON,Support,17,11,6,3.7,10.7,0.317,Camille x2; Pyke x2; Alistar x2,"[{""label"": ""Laning"", ""z"": -0.12}, {""label"": ""Vision"", ""z"": 0.535}, {""label"": ""Survival"", ""z"": 0.237}, {""label"": ""Fight Presence"", ""z"": 0.291}]",5
Bie,Team Secret Whales,Support,10,3,7,3.4,8.9,0.248,Elise x3; Karma x2; Nautilus x2,"[{""label"": ""Laning"", ""z"": 0.068}, {""label"": ""Vision"", ""z"": 0.218}, {""label"": ""Survival"", ""z"": 1.78}, {""label"": ""Fight Presence"", ""z"": -0.97}]",6
Keria,T1,Support,21,15,6,3.6,8.6,0.235,Camille x4; Pyke x3; Renata Glasc x2,"[{""label"": ""Laning"", ""z"": 0.469}, {""label"": ""Vision"", ""z"": 0.202}, {""label"": ""Survival"", ""z"": 0.379}, {""label"": ""Fight Presence"", ""z"": -0.102}]",7
Labrov,G2 Esports,Support,15,6,9,2.1,-8.6,-0.455,Lulu x3; Nautilus x2; Karma x2,"[{""label"": ""Laning"", ""z"": -0.727}, {""label"": ""Vision"", ""z"": -0.408}, {""label"": ""Survival"", ""z"": -1.044}, {""label"": ""Fight Presence"", ""z"": 0.337}]",8
fengyue,Top Esports,Support,9,3,6,2.0,-12.6,-0.612,Nautilus x1; Neeko x1; Thresh x1,"[{""label"": ""Laning"", ""z"": -1.651}, {""label"": ""Vision"", ""z"": -0.057}, {""label"": ""Survival"", ""z"": -0.395}, {""label"": ""Fight Presence"", ""z"": -1.193}]",9
CoreJJ,Team Liquid,Support,12,6,6,3.4,-15.0,-0.71,Rell x3; Bard x2; Nautilus x2,"[{""label"": ""Laning"", ""z"": -1.471}, {""label"": ""Vision"", ""z"": -0.665}, {""label"": ""Survival"", ""z"": -0.416}, {""label"": ""Fight Presence"", ""z"": -0.191}]",10
Busio,Karmine Corp,Support,9,3,6,2.4,-24.2,-1.077,Seraphine x2; Camille x2; Bard x1,"[{""label"": ""Laning"", ""z"": -0.42}, {""label"": ""Vision"", ""z"": -1.214}, {""label"": ""Survival"", ""z"": -1.566}, {""label"": ""Fight Presence"", ""z"": -1.001}]",11
Zeus,Hanwha Life Esports,Top,20,13,7,3.1,23.7,0.945,Ambessa x3; Dr. Mundo x3; Rumble x3,"[{""label"": ""Laning"", ""z"": 1.057}, {""label"": ""Damage Efficiency"", ""z"": 0.974}, {""label"": ""Tower Pressure"", ""z"": 0.646}]",1
Canna,Karmine Corp,Top,9,3,6,2.8,10.1,0.405,Rumble x2; Gnar x2; Renekton x2,"[{""label"": ""Laning"", ""z"": 1.467}, {""label"": ""Damage Efficiency"", ""z"": 0.286}, {""label"": ""Tower Pressure"", ""z"": -1.719}]",2
Bin,Bilibili Gaming,Top,17,11,6,2.9,7.5,0.3,Renekton x4; Jayce x2; Jax x2,"[{""label"": ""Laning"", ""z"": 1.276}, {""label"": ""Damage Efficiency"", ""z"": -1.063}, {""label"": ""Tower Pressure"", ""z"": 0.603}]",3
BrokenBlade,G2 Esports,Top,15,6,9,2.5,7.0,0.277,Yasuo x3; Kled x2; Anivia x2,"[{""label"": ""Laning"", ""z"": 0.298}, {""label"": ""Damage Efficiency"", ""z"": -0.049}, {""label"": ""Tower Pressure"", ""z"": 0.817}]",4
Dhokla,LYON,Top,17,11,6,2.4,6.3,0.251,Jayce x3; Gnar x3; Ambessa x2,"[{""label"": ""Laning"", ""z"": -0.303}, {""label"": ""Damage Efficiency"", ""z"": 0.833}, {""label"": ""Tower Pressure"", ""z"": 0.424}]",5
Flauren,Deep Cross Gaming,Top,6,0,6,1.1,2.3,0.093,Jax x2; Ambessa x1; Sion x1,"[{""label"": ""Laning"", ""z"": -1.049}, {""label"": ""Damage Efficiency"", ""z"": 1.648}, {""label"": ""Tower Pressure"", ""z"": -0.196}]",6
Doran,T1,Top,21,15,6,2.3,1.2,0.048,Gnar x3; Ambessa x3; Jayce x3,"[{""label"": ""Laning"", ""z"": 0.354}, {""label"": ""Damage Efficiency"", ""z"": -1.119}, {""label"": ""Tower Pressure"", ""z"": 1.475}]",7
Pun,Team Secret Whales,Top,10,3,7,2.0,-1.2,-0.05,Sion x2; Volibear x2; Renekton x1,"[{""label"": ""Laning"", ""z"": 0.009}, {""label"": ""Damage Efficiency"", ""z"": 0.728}, {""label"": ""Tower Pressure"", ""z"": -1.58}]",8
ZUIAN,Top Esports,Top,9,3,6,1.5,-6.9,-0.278,Sion x2; Ambessa x1; Renekton x1,"[{""label"": ""Laning"", ""z"": -0.727}, {""label"": ""Damage Efficiency"", ""z"": -0.028}, {""label"": ""Tower Pressure"", ""z"": 0.259}]",9
Guigo,FURIA,Top,6,0,6,2.1,-24.3,-0.973,Sion x2; Ambessa x1; Olaf x1,"[{""label"": ""Laning"", ""z"": -1.598}, {""label"": ""Damage Efficiency"", ""z"": -0.788}, {""label"": ""Tower Pressure"", ""z"": 0.068}]",10
Morgan,Team Liquid,Top,12,6,6,3.7,-25.4,-1.016,Renekton x3; Rumble x2; Ornn x2,"[{""label"": ""Laning"", ""z"": -0.783}, {""label"": ""Damage Efficiency"", ""z"": -1.423}, {""label"": ""Tower Pressure"", ""z"": -0.797}]",11
